Firm Name,Group,Joint Reporting,Reporting frequency,Reporting period,Semester,Complaints Received,Complaints Closed,Complaints Upheld (%)
ACI-UK LIMITED,NO GROUP,,Half Yearly,2024-04-01 to 2024-09-30,2024 H2,734,704,41.19%
Acorn Insurance & Financial Services Ltd,NO GROUP,no,Half Yearly,2024-07-01 to 2024-12-31,2024 H2,12,13,69.23%
Adrian Flux Insurance Services Group,NO GROUP,no,Half Yearly,2024-04-01 to 2024-09-30,2024 H2,12,12,0.00%
Advantage Finance Ltd,NO GROUP,no,Half Yearly,2024-02-01 to 2024-07-31,2024 H2,"2,878","2,956",10.22%
Advisory Insurance Brokers Limited,ARDONAGH GROUP LIMITED,no,Half Yearly,2024-07-01 to 2024-12-31,2024 H2,10,9,33.33%
Ageas Retail Limited,AGEAS SA-NV,no,Half Yearly,2024-07-01 to 2024-12-31,2024 H2,105,105,38.10%
Aioi Nissay Dowa Insurance UK Limited,AIOI NISSAY DOWA EUROPE LIMITED,yes,Half Yearly,2024-07-01 to 2024-12-31,2024 H2,59,80,63.75%
Ald Automotive Limited,NO GROUP,,Half Yearly,2024-07-01 to 2024-12-31,2024 H2,"1,552",920,54.02%
Aldermore Bank Plc,FIRSTRAND LIMITED,no,Half Yearly,2024-07-01 to 2024-12-31,2024 H2,621,60,40.00%
Alphabet (GB) Ltd,NO GROUP,no,Half Yearly,2024-07-01 to 2024-12-31,2024 H2,659,693,41.27%
Arthur J. Gallagher Insurance Brokers Limited,ARTHUR J GALLAGHER (UK) LTD,yes,Half Yearly,2024-07-01 to 2024-12-31,2024 H2,5,5,100.00%
Arval UK Limited,BNP PARIBAS GROUP,no,Half Yearly,2024-07-01 to 2024-12-31,2024 H2,916,"1,043",70.09%
Atlanta Insurance Intermediaries Limited,MARKERSTUDY GROUP,no,Half Yearly,2024-07-01 to 2024-12-31,2024 H2,153,153,41.83%
Automobile Association Insurance Services Limited,AUTOMOBILE ASSOCIATION (AA),no,Half Yearly,2024-02-01 to 2024-07-31,2024 H2,577,570,46.14%
Avantia Insurance Limited,NO GROUP,no,Half Yearly,2024-07-01 to 2024-12-31,2024 H2,66,63,20.63%
AXA Insurance Designated Activity Company,AXA GROUP,no,Half Yearly,2024-07-01 to 2024-12-31,2024 H2,162,163,60.12%
AXA Insurance UK Plc,AXA GROUP,no,Half Yearly,2024-07-01 to 2024-12-31,2024 H2,2,2,50.00%
Bamboo Limited,NO GROUP,,Half Yearly,2024-07-01 to 2024-12-31,2024 H2,"1,106","1,181",11.69%
Bank of Scotland plc,LLOYDS BANKING GROUP PLC,no,Half Yearly,2024-07-01 to 2024-12-31,2024 H2,"2,732","2,180",49.91%
Barclays Bank Plc,BARCLAYS PLC,no,Half Yearly,2024-07-01 to 2024-12-31,2024 H2,6,8,75.00%
Barclays Bank UK PLC,BARCLAYS PLC,yes,Half Yearly,2024-07-01 to 2024-12-31,2024 H2,"1,819","1,770",59.72%
BFSL Limited,MARKERSTUDY GROUP,,Half Yearly,2024-07-01 to 2024-12-31,2024 H2,996,979,40.25%
Billing Finance Limited,NO GROUP,,Half Yearly,2024-05-01 to 2024-10-31,2024 H2,680,755,21.46%
BISL Limited,MARKERSTUDY GROUP,no,Half Yearly,2024-07-01 to 2024-12-31,2024 H2,203,198,44.44%
Black Horse Limited,LLOYDS BANKING GROUP PLC,,Half Yearly,2024-07-01 to 2024-12-31,2024 H2,"260,936","6,082",47.81%
Blue Motor Finance Ltd,NO GROUP,,Half Yearly,2024-07-01 to 2024-12-31,2024 H2,"27,770","8,297",13.66%
BMW Financial Services(GB) Limited,NO GROUP,no,Half Yearly,2024-07-01 to 2024-12-31,2024 H2,"142,229","12,795",13.17%
British Gas Services Limited,NO GROUP,yes,Half Yearly,2024-07-01 to 2024-12-31,2024 H2,13,12,58.33%
Business Insurance Solutions Limited,NO GROUP,no,Half Yearly,2024-07-01 to 2024-12-31,2024 H2,27,27,62.96%
CA AUTO FINANCE UK LTD,NO GROUP,no,Half Yearly,2024-07-01 to 2024-12-31,2024 H2,"18,493","1,222",45.74%
Cabot Credit Management Group Limited,NO GROUP,no,Half Yearly,2024-07-01 to 2024-12-31,2024 H2,"6,159","5,933",18.54%
Capquest Debt Recovery Limited,INTRUM GROUP,,Half Yearly,2024-07-01 to 2024-12-31,2024 H2,803,"1,120",55.18%
Carfinance247 Limited,NO GROUP,no,Half Yearly,2024-07-01 to 2024-12-31,2024 H2,"1,649","1,508",28.32%
Carole Nash Insurance Consultants Ltd,MARKERSTUDY GROUP,no,Half Yearly,2024-07-01 to 2024-12-31,2024 H2,50,47,40.43%
Chetwood Financial Limited,NO GROUP,no,Half Yearly,2024-04-01 to 2024-09-30,2024 H2,205,221,18.55%
Chubb European Group SE,CHUBB LIMITED,no,Half Yearly,2024-07-01 to 2024-12-31,2024 H2,2,2,100.00%
Close Brothers Limited,CLOSE BROTHERS GROUP PLC,no,Half Yearly,2024-02-01 to 2024-07-31,2024 H2,"73,646","24,385",14.16%
Clydesdale Bank Plc,VIRGIN MONEY UK PLC,yes,Half Yearly,2024-04-01 to 2024-09-30,2024 H2,529,448,66.74%
Clydesdale Financial Services Limited,BARCLAYS PLC,,Half Yearly,2024-07-01 to 2024-12-31,2024 H2,"52,492","4,339",16.16%
Coutts & Company,NATWEST GROUP,no,Half Yearly,2024-07-01 to 2024-12-31,2024 H2,15,18,55.56%
Covea Insurance plc,COVEA GROUP,yes,Half Yearly,2024-07-01 to 2024-12-31,2024 H2,5,5,100.00%
Coventry Building Society,NO GROUP,yes,Half Yearly,2024-07-01 to 2024-12-31,2024 H2,3,3,33.33%
Creation Consumer Finance Ltd,BNP PARIBAS GROUP,no,Half Yearly,2024-07-01 to 2024-12-31,2024 H2,"5,621","3,877",33.43%
Creation Financial Services Limited,BNP PARIBAS GROUP,no,Half Yearly,2024-07-01 to 2024-12-31,2024 H2,520,601,40.27%
Elderbridge Limited,TECH MAHINDRA LIMITED,no,Half Yearly,2024-04-01 to 2024-09-30,2024 H2,17,17,41.18%
EQUIFAX LIMITED,NO GROUP,,Half Yearly,2024-07-01 to 2024-12-31,2024 H2,"2,117","1,985",37.48%
EUI Limited,ADMIRAL GROUP PLC,yes,Half Yearly,2024-07-01 to 2024-12-31,2024 H2,"2,549","2,543",47.54%
Evergreen Finance London Limited,NO GROUP,,Half Yearly,2024-07-01 to 2024-12-31,2024 H2,966,"1,085",19.35%
Everyday Lending Limited,NO GROUP,,Half Yearly,2024-07-01 to 2024-12-31,2024 H2,530,513,27.88%
Experian Limited,EXPERIAN PLC,no,Half Yearly,2024-04-01 to 2024-09-30,2024 H2,"11,397","11,276",16.97%
Extracover Limited,NO GROUP,no,Half Yearly,2024-07-01 to 2024-12-31,2024 H2,463,451,27.27%
FCE Bank Plc,FORD MOTOR CO,no,Half Yearly,2024-07-01 to 2024-12-31,2024 H2,"76,912","84,397",0.42%
First Central Insurance Management Limited,FIRST CENTRAL GROUP LIMITED,no,Half Yearly,2024-07-01 to 2024-12-31,2024 H2,48,57,50.88%
First Response Finance Ltd,NO GROUP,,Half Yearly,2024-04-01 to 2024-09-30,2024 H2,"2,547","2,602",22.25%
FirstRand Bank Limited,FIRSTRAND LIMITED,no,Half Yearly,2024-07-01 to 2024-12-31,2024 H2,"136,136","2,106",10.11%
Foundation for Credit Counselling,NO GROUP,,Half Yearly,2024-07-01 to 2024-12-31,2024 H2,984,989,42.06%
Frasers Group Financial Services Limited,NO GROUP,no,Half Yearly,2024-05-01 to 2024-10-31,2024 H2,"4,856","4,147",30.67%
Freemans Plc,OTTO GROUP,,Half Yearly,2024-03-01 to 2024-08-31,2024 H2,"1,258","1,340",33.66%
Funding Circle Ltd,NO GROUP,no,Half Yearly,2024-07-01 to 2024-12-31,2024 H2,"1,216","1,142",27.41%
Gain Credit LLC,NO GROUP,,Half Yearly,2024-07-01 to 2024-12-31,2024 H2,"2,346","2,116",35.82%
Go Car Credit Limited,NO GROUP,,Half Yearly,2024-04-01 to 2024-09-30,2024 H2,854,834,35.13%
Grattan Plc,OTTO GROUP,,Half Yearly,2024-03-01 to 2024-08-31,2024 H2,659,704,33.95%
Hastings Insurance Services Limited,HASTINGS GROUP,yes,Half Yearly,2024-07-01 to 2024-12-31,2024 H2,930,858,58.74%
Healthcare Finance Limited,NO GROUP,,Yearly,2024-01-01 to 2024-12-31,2024 H2,"1,009","2,203",6.63%
Honda Finance Europe Plc,NO GROUP,no,Half Yearly,2024-04-01 to 2024-09-30,2024 H2,"8,875",285,782.81%
HSBC UK Bank Plc,HSBC HOLDINGS PLC,no,Half Yearly,2024-07-01 to 2024-12-31,2024 H2,"5,154","5,239",53.52%
Hutchison 3G UK Limited,NO GROUP,,Half Yearly,2024-07-01 to 2024-12-31,2024 H2,"10,871","11,807",33.67%
Hyundai Capital UK Limited,NO GROUP,no,Half Yearly,2024-07-01 to 2024-12-31,2024 H2,"13,329","8,879",5.48%
Ikano Bank AB (publ),NO GROUP,no,Half Yearly,2024-07-01 to 2024-12-31,2024 H2,"1,351","1,315",34.45%
Insurance Factory Ltd,MARKERSTUDY GROUP,no,Half Yearly,2024-07-01 to 2024-12-31,2024 H2,31,33,33.33%
International Motors Finance Limited,LLOYDS BANKING GROUP PLC,,Half Yearly,2024-07-01 to 2024-12-31,2024 H2,830,27,55.56%
J D Williams & Company Limited,J D WILLIAMS & COMPANY LIMITED,no,Half Yearly,2024-03-01 to 2024-08-31,2024 H2,"3,632","4,873",33.59%
J.P. Morgan Europe Limited,JPMORGAN CHASE & CO,no,Half Yearly,2024-07-01 to 2024-12-31,2024 H2,13,11,72.73%
JAJA FINANCE LTD,NO GROUP,,Half Yearly,2024-07-01 to 2024-12-31,2024 H2,"2,375","2,034",43.46%
Klarna Financial Services UK Limited,NO GROUP,,Yearly,2024-01-01 to 2024-12-31,2024 H2,"1,473","1,638",44.20%
Kroo Bank Ltd,NO GROUP,no,Half Yearly,2024-07-01 to 2024-12-31,2024 H2,21,17,70.59%
Landmark Mortgages Limited,NO GROUP,no,Half Yearly,2024-07-01 to 2024-12-31,2024 H2,5,5,40.00%
Lantern Debt Recovery Services Limited,NO GROUP,,Half Yearly,2024-07-01 to 2024-12-31,2024 H2,"1,135","1,291",21.84%
LeasePlan UK Limited,LP GROUP B.V.,no,Half Yearly,2024-07-01 to 2024-12-31,2024 H2,"1,847","1,699",62.92%
Lendable Ltd,NO GROUP,,Half Yearly,2024-07-01 to 2024-12-31,2024 H2,"4,584","4,356",33.49%
Lenvi Servicing Limited,NO GROUP,no,Half Yearly,2024-07-01 to 2024-12-31,2024 H2,813,"1,607",33.42%
Lex Autolease Ltd,LLOYDS BANKING GROUP PLC,no,Half Yearly,2024-07-01 to 2024-12-31,2024 H2,"2,446","2,154",49.12%
Lloyds Bank PLC,LLOYDS BANKING GROUP PLC,no,Half Yearly,2024-07-01 to 2024-12-31,2024 H2,"4,493","4,437",51.72%
Loans 2 Go Limited,NO GROUP,,Half Yearly,2024-07-01 to 2024-12-31,2024 H2,"3,474","3,841",1.28%
Lowell Financial Ltd,NO GROUP,no,Half Yearly,2024-07-01 to 2024-12-31,2024 H2,"8,028","8,092",26.52%
Madison CF UK Limited,NO GROUP,,Half Yearly,2024-07-01 to 2024-12-31,2024 H2,"4,388","5,198",25.55%
Marks & Spencer Financial Services Plc,HSBC HOLDINGS PLC,no,Half Yearly,2024-07-01 to 2024-12-31,2024 H2,"1,178","1,159",74.20%
Marshmallow Financial Services Ltd,NO GROUP,yes,Half Yearly,2024-07-01 to 2024-12-31,2024 H2,12,17,41.18%
Mercedes-Benz Financial Services UK Limited,NO GROUP,,Half Yearly,2024-07-01 to 2024-12-31,2024 H2,"21,980","7,818",29.87%
Metro Bank PLC,METRO BANK PLC,no,Half Yearly,2024-07-01 to 2024-12-31,2024 H2,"1,019",988,28.24%
MI Vehicle Finance Limited,INVESTEC PLC,,Half Yearly,2024-04-01 to 2024-09-30,2024 H2,"3,794","1,385",35.45%
Mitsubishi HC Capital UK PLC,NO GROUP,no,Half Yearly,2024-04-01 to 2024-09-30,2024 H2,"11,066","6,849",30.79%
Moneybarn No. 1 Limited,PROVIDENT FINANCIAL PLC,,Half Yearly,2024-07-01 to 2024-12-31,2024 H2,"9,040","8,491",22.36%
Monzo Bank Ltd,MONZO BANK LIMITED,no,Half Yearly,2024-04-01 to 2024-09-30,2024 H2,630,977,38.18%
Moorcroft Debt Recovery Limited,NO GROUP,no,Half Yearly,2024-02-01 to 2024-07-31,2024 H2,578,482,46.06%
MotoNovo Finance Limited,NO GROUP,no,Half Yearly,2024-07-01 to 2024-12-31,2024 H2,"77,076","5,613",49.80%
N.I.I.B. Group Limited,BANK OF IRELAND GROUP,,Half Yearly,2024-07-01 to 2024-12-31,2024 H2,"11,546","1,641",23.89%
NATIONAL WESTMINSTER BANK PUBLIC LIMITED COMPANY,NATWEST GROUP,no,Half Yearly,2024-07-01 to 2024-12-31,2024 H2,"6,494","6,728",52.44%
Nationwide Building Society,NATIONWIDE BUILDING SOCIETY,no,Half Yearly,2024-04-05 to 2024-10-04,2024 H2,"1,381","1,322",51.97%
NCO Europe Limited,NO GROUP,,Half Yearly,2024-07-01 to 2024-12-31,2024 H2,541,535,45.23%
NewDay Ltd,CVC CAPITAL PARTNERS ADVISORY GROUP HOLDING FOUNDATION,,Half Yearly,2024-07-01 to 2024-12-31,2024 H2,"23,321","27,034",22.68%
Next Retail Limited,NO GROUP,,Half Yearly,2024-02-01 to 2024-07-31,2024 H2,"7,839","7,972",58.53%
Northern Bank Limited,DANSKE BANK A/S,no,Half Yearly,2024-07-01 to 2024-12-31,2024 H2,61,70,18.57%
OAKBROOK FINANCE LIMITED,NO GROUP,,Half Yearly,2024-07-01 to 2024-12-31,2024 H2,"1,783","1,713",22.77%
One Call Insurance Services Limited,NO GROUP,no,Half Yearly,2024-07-01 to 2024-12-31,2024 H2,199,193,10.88%
ONMO Limited,NO GROUP,,Half Yearly,2024-03-01 to 2024-08-31,2024 H2,753,603,55.06%
Oodle Financial Services Limited,NO GROUP,,Half Yearly,2024-07-01 to 2024-12-31,2024 H2,"6,816","4,885",24.03%
Paragon Bank Plc,PARAGON BANKING GROUP PLC,yes,Half Yearly,2024-04-01 to 2024-09-30,2024 H2,"2,043",281,26.69%
Paymentsense Limited,NO GROUP,,Half Yearly,2024-04-01 to 2024-09-30,2024 H2,"1,885","1,893",51.14%
PayPal UK Ltd,NO GROUP,,Yearly,2024-01-01 to 2024-12-31,2024 H2,"31,154","30,185",14.25%
Phoenix Life CA Limited,NO GROUP,no,Half Yearly,2024-07-01 to 2024-12-31,2024 H2,1,1,0.00%
PRA Group (UK) Limited,NO GROUP,no,Half Yearly,2024-07-01 to 2024-12-31,2024 H2,"1,977","1,824",19.41%
Premium Credit Limited,NO GROUP,,Half Yearly,2024-07-01 to 2024-12-31,2024 H2,"4,562","4,570",19.74%
Qmetric Group Limited,NO GROUP,no,Half Yearly,2024-04-01 to 2024-09-30,2024 H2,4,4,25.00%
Quidie Limited,NO GROUP,,Half Yearly,2024-07-01 to 2024-12-31,2024 H2,"1,105","1,265",14.23%
RCI Financial Services Limited,NO GROUP,no,Half Yearly,2024-07-01 to 2024-12-31,2024 H2,"44,389","3,980",13.74%
Sabre Insurance Company Limited,SABRE INSURANCE GROUP PLC,no,Half Yearly,2024-07-01 to 2024-12-31,2024 H2,46,47,29.79%
Sainsbury's Bank Plc,J SAINSBURY PLC,no,Half Yearly,2024-03-01 to 2024-08-31,2024 H2,621,660,51.67%
Salary Finance Limited,LEGAL & GENERAL GROUP PLC,,Half Yearly,2024-07-01 to 2024-12-31,2024 H2,976,"1,051",71.08%
Santander Consumer (UK) Plc,SANTANDER UK GROUP,no,Half Yearly,2024-07-01 to 2024-12-31,2024 H2,"48,435","12,090",10.12%
Santander UK Plc,SANTANDER UK GROUP,no,Half Yearly,2024-07-01 to 2024-12-31,2024 H2,"1,350","1,361",49.08%
ScoresMatter Limited,NO GROUP,,Yearly,2024-01-01 to 2024-12-31,2024 H2,716,728,5.49%
Secure Trust Bank Plc,SECURE TRUST BANK PLC,no,Half Yearly,2024-07-01 to 2024-12-31,2024 H2,"6,476","4,442",25.30%
Shawbrook Bank Limited,SHAWBROOK GROUP PLC,no,Half Yearly,2024-07-01 to 2024-12-31,2024 H2,"1,126","1,098",46.99%
Shogun Finance Limited,LLOYDS BANKING GROUP PLC,,Yearly,2024-01-01 to 2024-12-31,2024 H2,"2,794",42,26.19%
Shop Direct Finance Company Limited,THE VERY GROUP,no,Half Yearly,2024-07-01 to 2024-12-31,2024 H2,"32,619","31,481",24.39%
Specialist Motor Finance Limited,NO GROUP,,Half Yearly,2024-07-01 to 2024-12-31,2024 H2,"1,764","1,363",25.97%
Stagemount Limited,NO GROUP,,Half Yearly,2024-07-01 to 2024-12-31,2024 H2,690,695,32.81%
STARTLINE MOTOR FINANCE LIMITED,NO GROUP,,Half Yearly,2024-07-01 to 2024-12-31,2024 H2,"11,429","5,308",15.05%
Stellantis Financial Services UK Limited,NO GROUP,no,Half Yearly,2024-07-01 to 2024-12-31,2024 H2,"34,528","2,979",33.27%
Suzuki Financial Services Limited,LLOYDS BANKING GROUP PLC,,Half Yearly,2024-07-01 to 2024-12-31,2024 H2,"9,483",105,51.43%
Tandem Bank Limited,NO GROUP,no,Half Yearly,2024-07-01 to 2024-12-31,2024 H2,503,548,70.80%
Tandem Motor Finance Limited,NO GROUP,,Yearly,2024-01-01 to 2024-12-31,2024 H2,"1,085",758,39.58%
Telefonica UK Limited,NO GROUP,no,Half Yearly,2024-07-01 to 2024-12-31,2024 H2,"14,113","14,058",95.68%
Tesco Personal Finance Limited,NO GROUP,no,Half Yearly,2024-03-01 to 2024-08-31,2024 H2,"1,361","1,382",47.90%
The Royal Bank of Scotland Plc,NATWEST GROUP,no,Half Yearly,2024-07-01 to 2024-12-31,2024 H2,"1,356","1,411",56.06%
Topaz Finance Limited,NO GROUP,no,Half Yearly,2024-07-01 to 2024-12-31,2024 H2,36,29,44.83%
Toyota Financial Services (UK) PLC,NO GROUP,no,Half Yearly,2024-04-01 to 2024-09-30,2024 H2,"27,267","11,940",4.83%
TRANSUNION INTERNATIONAL UK LIMITED,NO GROUP,,Half Yearly,2024-07-01 to 2024-12-31,2024 H2,"2,285","2,226",21.92%
Triodos Bank UK Limited,NO GROUP,no,Half Yearly,2024-07-01 to 2024-12-31,2024 H2,9,10,30.00%
TSB Bank plc,BANCO DE SABADELL SA,no,Half Yearly,2024-07-01 to 2024-12-31,2024 H2,932,848,63.68%
U K Insurance Limited,DIRECT LINE INSURANCE GROUP PLC,no,Half Yearly,2024-07-01 to 2024-12-31,2024 H2,322,325,60.00%
U.S. Bank Europe DAC,NO GROUP,no,Half Yearly,2024-07-01 to 2024-12-31,2024 H2,17,17,64.71%
Virgin Media Mobile Finance Limited,NO GROUP,,Half Yearly,2024-07-01 to 2024-12-31,2024 H2,"1,154","1,206",48.18%
Vitality Corporate Services Limited,DISCOVERY LIMITED,yes,Half Yearly,2024-07-01 to 2024-12-31,2024 H2,3,3,33.33%
Vodafone Limited,NO GROUP,no,Half Yearly,2024-04-01 to 2024-09-30,2024 H2,"5,078","5,139",53.73%
Volkswagen Financial Services (UK) Limited,NO GROUP,no,Half Yearly,2024-07-01 to 2024-12-31,2024 H2,"96,129","32,581",16.49%
Volvo Car Financial Services UK Limited,SANTANDER UK GROUP,,Half Yearly,2024-07-01 to 2024-12-31,2024 H2,"1,032","1,132",46.73%
Volvo Car UK Limited,NO GROUP,no,Half Yearly,2024-07-01 to 2024-12-31,2024 H2,357,422,38.86%
Wescot Credit Services Limited,NO GROUP,no,Half Yearly,2024-07-01 to 2024-12-31,2024 H2,"1,823","1,897",22.40%
Xbridge Limited,NO GROUP,no,Half Yearly,2024-07-01 to 2024-12-31,2024 H2,38,33,45.45%
Zempler Bank Limited,NO GROUP,no,Half Yearly,2024-04-01 to 2024-09-30,2024 H2,2,2,0.00%
ZILCH TECHNOLOGY LIMITED,NO GROUP,,Half Yearly,2024-04-01 to 2024-09-30,2024 H2,"2,704","2,694",52.78%
Zopa Bank Limited,NO GROUP,no,Half Yearly,2024-07-01 to 2024-12-31,2024 H2,"3,242","3,104",45.26%
Acorn Insurance & Financial Services Ltd,NO GROUP,no,Half Yearly,2023-07-01 to 2023-12-31,2023 H2,32,34,2700.00%
Adrian Flux Insurance Services Group,NO GROUP,no,Half Yearly,2023-03-01 to 2023-08-31,2023 H2,8,8,0.00%
Advanced Payment Solutions Limited,NO GROUP,no,Half Yearly,2023-04-01 to 2023-09-30,2023 H2,16,17,100.00%
Advantage Finance Ltd,NO GROUP,no,Half Yearly,2023-02-01 to 2023-07-31,2023 H2,"1,444",1215,22700.00%
Advisory Insurance Brokers Limited,ARDONAGH GROUP LIMITED,no,Half Yearly,2023-07-01 to 2023-12-31,2023 H2,1,1,0.00%
Ageas Retail Limited,AGEAS SA-NV,no,Half Yearly,2023-07-01 to 2023-12-31,2023 H2,104,108,5200.00%
AIB Group (UK) Plc,AIB GROUP PUBLIC LIMITED COMPANY,no,Half Yearly,2023-07-01 to 2023-12-31,2023 H2,23,23,1200.00%
Aioi Nissay Dowa Insurance UK Limited,AIOI NISSAY DOWA EUROPE LIMITED,yes,Half Yearly,2023-07-01 to 2023-12-31,2023 H2,140,136,11100.00%
Ald Automotive Limited,NO GROUP,,Half Yearly,2023-07-01 to 2023-12-31,2023 H2,998,1075,62600.00%
Aldermore Bank Plc,FIRSTRAND LIMITED,no,Half Yearly,2023-07-01 to 2023-12-31,2023 H2,78,64,1300.00%
Allianz Insurance Plc,ALLIANZ SE,no,Half Yearly,2023-07-01 to 2023-12-31,2023 H2,4,2,100.00%
Arthur J. Gallagher Insurance Brokers Limited,GALLAGHER,yes,Half Yearly,2023-07-01 to 2023-12-31,2023 H2,8,6,300.00%
Arval UK Limited,NO GROUP,no,Half Yearly,2023-07-01 to 2023-12-31,2023 H2,"1,865",1963,141300.00%
Atlanta Insurance Intermediaries Limited,ARDONAGH GROUP LIMITED,no,Half Yearly,2023-07-01 to 2023-12-31,2023 H2,253,264,11500.00%
Automobile Association Insurance Services Limited,AUTOMOBILE ASSOCIATION (AA),no,Half Yearly,2023-02-01 to 2023-07-31,2023 H2,549,516,18100.00%
Avantia Insurance Limited,NO GROUP,no,Half Yearly,2023-07-01 to 2023-12-31,2023 H2,195,189,13000.00%
AXA Insurance Designated Activity Company,AXA GROUP,no,Half Yearly,2023-07-01 to 2023-12-31,2023 H2,134,133,5100.00%
Bamboo Limited,NO GROUP,,Half Yearly,2023-07-01 to 2023-12-31,2023 H2,"1,169",1067,20700.00%
Bank of Scotland plc,LLOYDS BANKING GROUP PLC,no,Half Yearly,2023-07-01 to 2023-12-31,2023 H2,"2,570",2601,130300.00%
Barclays Bank Plc,BARCLAYS PLC,yes,Half Yearly,2023-07-01 to 2023-12-31,2023 H2,18,21,1300.00%
Barclays Bank UK PLC,BARCLAYS PLC,yes,Half Yearly,2023-07-01 to 2023-12-31,2023 H2,"4,611",4609,109300.00%
BFSL Limited,NO GROUP,,Half Yearly,2023-07-01 to 2023-12-31,2023 H2,"1,097",1090,58000.00%
Billing Finance Limited,NO GROUP,,Half Yearly,2023-05-01 to 2023-10-31,2023 H2,731,762,27200.00%
BISL Limited,BGL GROUP,no,Half Yearly,2023-07-01 to 2023-12-31,2023 H2,272,295,14600.00%
Black Horse Limited,LLOYDS BANKING GROUP PLC,no,Half Yearly,2023-07-01 to 2023-12-31,2023 H2,"16,829",10632,317500.00%
Blue Motor Finance Ltd,NO GROUP,,Half Yearly,2023-07-01 to 2023-12-31,2023 H2,"3,470",3320,75700.00%
BMW Financial Services(GB) Limited,NO GROUP,no,Half Yearly,2023-07-01 to 2023-12-31,2023 H2,"3,870",3005,97800.00%
British Gas Services Limited,CENTRICA PLC,yes,Half Yearly,2023-07-01 to 2023-12-31,2023 H2,13,17,600.00%
CA AUTO FINANCE UK LTD,NO GROUP,no,Half Yearly,2023-07-01 to 2023-12-31,2023 H2,"1,857",1726,50600.00%
Cabot Credit Management Group Limited,NO GROUP,no,Half Yearly,2023-07-01 to 2023-12-31,2023 H2,"5,147",5177,110300.00%
Capquest Debt Recovery Limited,NO GROUP,,Half Yearly,2023-07-01 to 2023-12-31,2023 H2,"2,312",1453,85400.00%
Carfinance247 Limited,NO GROUP,no,Half Yearly,2023-07-01 to 2023-12-31,2023 H2,"1,172",1139,44600.00%
Carole Nash Insurance Consultants Ltd,ARDONAGH GROUP LIMITED,no,Half Yearly,2023-07-01 to 2023-12-31,2023 H2,67,71,3000.00%
Chetwood Financial Limited,NO GROUP,no,Half Yearly,2023-04-01 to 2023-09-30,2023 H2,281,273,5600.00%
Close Brothers Limited,CLOSE BROTHERS GROUP PLC,no,Half Yearly,2023-02-01 to 2023-07-31,2023 H2,"10,764",9596,324900.00%
Clydesdale Bank Plc,VIRGIN MONEY UK PLC,no,Half Yearly,2023-04-01 to 2023-09-30,2023 H2,531,542,37300.00%
Coutts & Company,NATWEST GROUP,no,Half Yearly,2023-07-01 to 2023-12-31,2023 H2,25,28,1700.00%
Covea Insurance plc,COVEA GROUP,yes,Half Yearly,2023-07-01 to 2023-12-31,2023 H2,10,10,800.00%
Coventry Building Society,NO GROUP,yes,Half Yearly,2023-07-01 to 2023-12-31,2023 H2,4,4,200.00%
Creation Consumer Finance Ltd,BNP PARIBAS GROUP,no,Half Yearly,2023-07-01 to 2023-12-31,2023 H2,3867,3798,106700.00%
Creation Financial Services Limited,BNP PARIBAS GROUP,no,Half Yearly,2023-07-01 to 2023-12-31,2023 H2,1009,998,46900.00%
Devitt Insurance Services Ltd,NO GROUP,no,Half Yearly,2023-07-01 to 2023-12-31,2023 H2,41,43,600.00%
Elavon Financial Services Designated Activity Company,NO GROUP,no,Half Yearly,2023-07-01 to 2023-12-31,2023 H2,139,147,7600.00%
Elderbridge Limited,TECH MAHINDRA LIMITED,no,Half Yearly,2023-04-01 to 2023-09-30,2023 H2,18,15,800.00%
EQUIFAX LIMITED,NO GROUP,,Half Yearly,2023-07-01 to 2023-12-31,2023 H2,1959,2583,97000.00%
EUI Limited,ADMIRAL GROUP PLC,yes,Half Yearly,2023-07-01 to 2023-12-31,2023 H2,1924,1926,96200.00%
Evergreen Finance London Limited,NO GROUP,,Half Yearly,2023-07-01 to 2023-12-31,2023 H2,888,787,35000.00%
Experian Limited,EXPERIAN PLC,no,Half Yearly,2023-04-01 to 2023-09-30,2023 H2,11106,11437,225300.00%
FCE Bank Plc,FORD MOTOR CO,no,Half Yearly,2023-07-01 to 2023-12-31,2023 H2,1297,1302,31900.00%
"FDR Limited, LLC",NO GROUP,,Half Yearly,2023-07-01 to 2023-12-31,2023 H2,811,802,40100.00%
First Response Finance Ltd,NO GROUP,,Half Yearly,2023-04-01 to 2023-09-30,2023 H2,1776,1777,61300.00%
FirstRand Bank Limited,FIRSTRAND LIMITED,no,Half Yearly,2023-07-01 to 2023-12-31,2023 H2,11806,12939,69000.00%
Foundation for Credit Counselling,NO GROUP,,Half Yearly,2023-07-01 to 2023-12-31,2023 H2,1274,1298,57300.00%
Frasers Group Financial Services Limited,NO GROUP,no,Half Yearly,2023-05-01 to 2023-10-31,2023 H2,1654,1662,26700.00%
Freemans Plc,NO GROUP,,Half Yearly,2023-03-01 to 2023-08-31,2023 H2,1155,1157,42100.00%
Funding Circle Ltd,NO GROUP,no,Half Yearly,2023-07-01 to 2023-12-31,2023 H2,1068,1016,22100.00%
Gain Credit LLC,NO GROUP,,Half Yearly,2023-07-01 to 2023-12-31,2023 H2,4067,4531,201400.00%
Go Car Credit Limited,NO GROUP,,Half Yearly,2023-04-01 to 2023-09-30,2023 H2,793,667,38600.00%
