Firm Name,Group,Joint Reporting,Reporting frequency,Reporting period,Semester,Complaints Received,Complaints Closed,Complaints Upheld (%)
Premium Credit Limited,"FIFTH CINVEN FUND LP, THE",,Half Yearly,2021-07-01 to 2021-12-31,,"2,710","2,766",46700.00%
Provident Personal Credit Limited,PROVIDENT FINANCIAL PLC,,Half Yearly,2021-07-01 to 2021-12-31,,"1,851","1,970",82600.00%
PSA Finance UK Limited,PSA FINANCE UK LIMITED,no,Half Yearly,2021-07-01 to 2021-12-31,,"2,658","1,727",93500.00%
Qmetric Group Limited,NO GROUP,no,Half Yearly,2021-04-01 to 2021-09-30,,4,3,0.00%
Quidie Limited,NO GROUP,,Yearly,2021-01-01 to 2021-12-31,,940,955,12900.00%
Quint Group Limited,NO GROUP,no,Half Yearly,2021-03-29 to 2021-09-28,,433,411,300.00%
RCI Financial Services Limited,RENAULT,no,Half Yearly,2021-07-01 to 2021-12-31,,807,895,48200.00%
Retail Merchant Services Limited,NO GROUP,,Yearly,2021-01-01 to 2021-12-31,,"4,032","3,837","1,015"
Retail Money Market Ltd,NO GROUP,no,Half Yearly,2021-07-01 to 2021-12-31,,"1,025","1,012",29500.00%
S.D. Taylor Limited,NON-STANDARD FINANCE PLC,,Half Yearly,2021-07-01 to 2021-12-31,,"1,442","1,011",45000.00%
Sainsbury's Bank Plc,J SAINSBURY PLC,no,Half Yearly,2021-03-01 to 2021-08-31,,"2,029","1,907","1,124"
Santander Consumer (UK) Plc,SANTANDER UK - GROUP,no,Half Yearly,2021-07-01 to 2021-12-31,,"1,877","1,942",87000.00%
Santander UK Plc,SANTANDER UK - GROUP,no,Half Yearly,2021-07-01 to 2021-12-31,,"2,392","2,482","1,124"
ScoresMatter Limited,NO GROUP,,Yearly,2021-01-01 to 2021-12-31,,"2,520","2,519",2500.00%
Secure Trust Bank Plc,SECURE TRUST BANK PLC,no,Half Yearly,2021-07-01 to 2021-12-31,,"1,613","1,592",91400.00%
Shawbrook Bank Limited,SHAWBROOK GROUP PLC,no,Half Yearly,2021-07-01 to 2021-12-31,,"1,968","2,621",84800.00%
Shop Direct Finance Company Limited,THE VERY GROUP,no,Half Yearly,2021-07-01 to 2021-12-31,,"16,965","17,218","4,790"
Soteria Insurance Limited,CO-OPERATIVE GROUP LIMITED,no,Half Yearly,2021-07-01 to 2021-12-31,,19,21,1200.00%
Stagemount Limited,NO GROUP,,Yearly,2021-01-01 to 2021-12-31,,522,490,13000.00%
Starling Bank Limited,NO GROUP,no,Half Yearly,2021-04-01 to 2021-09-30,,280,275,7500.00%
STARTLINE MOTOR FINANCE LIMITED,STARTLINE INVESTORS LP,,Half Yearly,2021-07-01 to 2021-12-31,,577,616,23800.00%
Studio Retail Limited,STUDIO RETAIL GROUP PLC,no,Half Yearly,2021-04-01 to 2021-09-30,,"13,020","13,312","10,168"
Telefonica UK Limited,NO GROUP,no,Half Yearly,2021-07-01 to 2021-12-31,,915,803,58200.00%
Temple Finance Limited,BRIXWORTH INVESTMENTS LTD,no,Half Yearly,2021-04-01 to 2021-09-30,,"2,110","2,375",85000.00%
Tesco Personal Finance PLC,TESCO PLC,no,Half Yearly,2021-03-01 to 2021-08-31,,"1,410","1,427",64500.00%
The Royal Bank of Scotland Plc,THE ROYAL BANK OF SCOTLAND GROUP,no,Half Yearly,2021-07-01 to 2021-12-31,,"1,465","1,668","1,313"
The Royal London Mutual Insurance Society Limited,THE ROYAL LONDON MUTUAL INSURANCE SOCIETY LTD,no,Half Yearly,2021-07-01 to 2021-12-31,,4,4,300.00%
Topaz Finance Limited,COMPUTERSHARE LIMITED,no,Half Yearly,2021-07-01 to 2021-12-31,,48,52,2500.00%
TRANSUNION INTERNATIONAL UK LIMITED,TRANSUNION INFORMATION GROUP LIMITED,,Half Yearly,2021-07-01 to 2021-12-31,,"1,035","1,055",20800.00%
TSB Bank plc,BANCO DE SABADELL SA,no,Half Yearly,2021-07-01 to 2021-12-31,,968,997,60100.00%
